24.0	66.0	-106.0
31.0	68.0	-112.0
29.0	65.0	-117.0
29.0	60.0	-113.0
25.0	56.0	-105.0
10.0	50.0	-96.0
0.0	47.0	-87.0
-22.0	40.0	-89.0
-33.0	35.0	-99.0
-43.0	37.0	-111.0
-46.0	33.0	-124.0
-48.0	36.0	-141.0
-44.0	41.0	-150.0
-43.0	43.0	-162.0
-36.0	47.0	-172.0
-31.0	56.0	-174.0
-21.0	57.0	-181.0
-7.0	66.0	-177.0
4.0	71.0	-172.0
2.0	78.0	-171.0
1.0	80.0	-172.0
-10.0	81.0	-176.0
-32.0	75.0	-178.0
-51.0	64.0	-160.0
-59.0	53.0	-132.0
-53.0	47.0	-115.0
-44.0	40.0	-100.0
-26.0	42.0	-91.0
-12.0	36.0	-91.0
7.0	34.0	-103.0
15.0	35.0	-127.0
10.0	37.0	-148.0
0.0	39.0	-164.0
-11.0	36.0	-164.0
-20.0	32.0	-157.0
-29.0	28.0	-154.0
-29.0	28.0	-153.0
-31.0	28.0	-152.0
-14.0	30.0	-159.0
-1.0	24.0	-144.0
-10.0	22.0	-132.0
-17.0	22.0	-132.0
-26.0	22.0	-133.0
-36.0	28.0	-145.0
-46.0	40.0	-151.0
-51.0	51.0	-157.0
-43.0	59.0	-170.0
-36.0	66.0	-175.0
-26.0	71.0	-183.0
-21.0	67.0	-180.0
-4.0	45.0	-170.0
14.0	40.0	-139.0
21.0	49.0	-121.0
20.0	51.0	-111.0
16.0	52.0	-104.0
9.0	60.0	-90.0
-3.0	70.0	-85.0
-10.0	85.0	-81.0
-22.0	98.0	-90.0
-25.0	108.0	-97.0
-26.0	110.0	-112.0
-24.0	115.0	-123.0
-28.0	112.0	-142.0
-37.0	104.0	-153.0
-43.0	100.0	-154.0
-37.0	102.0	-154.0
-22.0	112.0	-151.0
0.0	116.0	-127.0
7.0	106.0	-109.0
13.0	91.0	-92.0
19.0	72.0	-91.0
18.0	53.0	-102.0
18.0	40.0	-120.0
18.0	40.0	-142.0
15.0	46.0	-157.0
11.0	58.0	-168.0
0.0	67.0	-175.0
-14.0	74.0	-180.0
-31.0	75.0	-177.0
-37.0	78.0	-174.0
-41.0	79.0	-170.0
-42.0	80.0	-169.0
-41.0	84.0	-167.0
-43.0	85.0	-164.0
-42.0	88.0	-160.0
-40.0	92.0	-164.0
-31.0	89.0	-167.0
-29.0	90.0	-172.0
-29.0	87.0	-178.0
-39.0	82.0	-172.0
-47.0	89.0	-157.0
-49.0	96.0	-138.0
-44.0	103.0	-120.0
-44.0	98.0	-103.0
-56.0	84.0	-115.0
-61.0	76.0	-144.0
-48.0	74.0	-169.0
-43.0	82.0	-168.0
-47.0	78.0	-164.0
-51.0	69.0	-165.0
-44.0	56.0	-174.0
-26.0	44.0	-171.0
-7.0	33.0	-160.0
4.0	30.0	-142.0
12.0	36.0	-124.0
19.0	41.0	-112.0
23.0	54.0	-102.0
14.0	70.0	-89.0
5.0	91.0	-91.0
-2.0	104.0	-102.0
-1.0	111.0	-113.0
-9.0	116.0	-120.0
-5.0	117.0	-132.0
-7.0	112.0	-147.0
-1.0	107.0	-155.0
1.0	99.0	-160.0
7.0	98.0	-166.0
14.0	95.0	-155.0
24.0	81.0	-155.0
26.0	62.0	-152.0
22.0	50.0	-136.0
16.0	39.0	-123.0
6.0	33.0	-108.0
-6.0	44.0	-89.0
-12.0	65.0	-81.0
-14.0	78.0	-79.0
-11.0	76.0	-82.0
-10.0	54.0	-82.0
-10.0	37.0	-94.0
-13.0	23.0	-112.0
-12.0	22.0	-141.0
-13.0	33.0	-165.0
-10.0	50.0	-178.0
-11.0	66.0	-180.0
-3.0	68.0	-177.0
16.0	60.0	-166.0
27.0	56.0	-130.0
23.0	60.0	-111.0
9.0	60.0	-90.0
-8.0	58.0	-83.0
-29.0	55.0	-84.0
-32.0	56.0	-89.0
-33.0	58.0	-86.0
-21.0	60.0	-79.0
-1.0	63.0	-85.0
18.0	69.0	-101.0
28.0	69.0	-124.0
20.0	61.0	-150.0
9.0	53.0	-164.0
-1.0	43.0	-170.0
-14.0	38.0	-167.0
-19.0	33.0	-159.0
-22.0	25.0	-152.0
-23.0	22.0	-144.0
-29.0	24.0	-131.0
-36.0	26.0	-126.0
-44.0	33.0	-132.0
-50.0	39.0	-128.0
-54.0	45.0	-133.0
-56.0	50.0	-128.0
-57.0	44.0	-131.0
-42.0	33.0	-130.0
-27.0	25.0	-126.0
-12.0	24.0	-122.0
2.0	28.0	-123.0
12.0	38.0	-124.0
23.0	51.0	-119.0
25.0	67.0	-120.0
24.0	82.0	-118.0
24.0	91.0	-126.0
21.0	91.0	-118.0
17.0	88.0	-102.0
3.0	80.0	-86.0
-14.0	71.0	-79.0
-24.0	64.0	-84.0
-30.0	50.0	-89.0
-34.0	41.0	-92.0
-33.0	36.0	-105.0
-30.0	28.0	-108.0
-25.0	22.0	-120.0
-19.0	22.0	-133.0
-16.0	23.0	-142.0
-15.0	27.0	-154.0
-16.0	33.0	-159.0
-21.0	39.0	-171.0
-19.0	49.0	-177.0
-21.0	61.0	-176.0
-21.0	69.0	-180.0
-22.0	77.0	-177.0
-20.0	85.0	-176.0
-17.0	92.0	-167.0
-16.0	100.0	-162.0
-18.0	102.0	-163.0
-19.0	102.0	-157.0
-22.0	99.0	-162.0
-31.0	89.0	-168.0
-30.0	84.0	-173.0
-33.0	82.0	-173.0
-33.0	83.0	-173.0
-31.0	90.0	-170.0
